Commands,Hard Label,Soft Label
move to the green room,1,1
move to the green room,1,1
go to the green room,1,1
go to the green room,1,1
go to the green room,1,1
go from the blue room to the red room then go from the red room to the green room,,1
move to the green room,1,1
go in and then go into the green room,1,1
move to the green room,1,1
go to the pink room move towards the object in the room and turn to the green room,,1
go in and then go to the green room,1,1
move to the green room,1,1
move to the green room,1,1
go to the green room,1,1
go to the other room,1,1
move to the green room,1,1
go from the blue room to the green room,,1
move to the green room,1,1
go to the green room,1,1
go to red room and then green room,,1
move to the green room,1,1
move to the middle of the green room,1,1
go to the pink room then go to the green room,,1
go to the green room,1,1
go to the green room,1,1
go into the red room and then go into the green room,,1
go to peach room go to green room,,1
go into the green room,1,1
move to green room,1,1
leave the purple room and go to the green room,,1
go to the green room,1,1
move until you are one square into the green room,1,1
go to the green room,1,1
go to pink room walk go to green room,,1
go to the green room,1,1
go to the green room,1,1
leave this room and go into the green room,1,1
go to the red room then go to the green room,,1
go to the green room,1,1
move to the green room,1,1
move to green room,1,1
go to the red rooma nd push the object into the green room,,
go to the green room,1,1
move to green room,1,1
move from purple room to green room,,1
go into the green room,1,1
go to the green room,1,1
go to the green room,1,1
exit room and go right to the green room,1,1
go to the green room,1,1
go to the green room,1,1
leave the blue room and go to the pink room and from there go to the green room,,1
go to the green room,1,1
go to the green room,1,1
go down left up,,
go to the green room,1,1
move to the pink room move to the green room,,1
go to the red room go to the green room,,1
take the shortest available path from the purple room to the green room,,1
go down go west enter into the green room,,
go to red room go to green room,,1
move to the red room then go to the green room,,1
enter the red room then enter the green room,,1
move to the red room move to the green room,,1
go to the red room and then go to the green room,,1
go to the pink room go to the green room,,1
leave the blue room and go to the red room and then go to the green room,,1
go into the green room,1,1
first go to red room then go to green room,,1
go from the blue room to the red room and then go from the red room to the green room,,1
go from the blue room to the red room then to the green room,1,1
go into the red room and enter the green room,,1
move to red room move to green room,,1
go to the red room and then the green room,,1
go to the red room and then go into the green room,,1
go to the orange room then go to the green room,,1
go to the pink room and then to the green room,,1
go to the green room,1,1
move to the red room then move to the green room,,1
go to the red room then the green room,,1
go to the green room,1,1
go to the red room then the green room,,1
go to the red room and then go to the green room,,1
go to pink room then go to green room,,1
go from the blue room to the pink room . go from the pink room to the green room,,1
go to the pink room and then go to the green room,,1
move to the red room and move into the green room,,1
go into the red room then go into the green room,,1
move to the red room move to the green room,,1
go to the red room then to the green room,,1
go to the red room and then to green room,,1
robot c move to the red room and then move to the green room,,1
move from blue room to red room then move to green room,,1
go to the green room,1,1
move three steps from blue room to red room and move four steps left and two steps up to green room,,
move to red room then move to green room,,1
move into the red room then move into the green room,,1
go to the red room and then go to the green room,,1
go to the red room go to the green room,,1
go to the red room and then go to the blue room,,1
move to the red room then move to the green room,,1
go into the red room and then into the green room,,1
move to the red room and then move to the green room,,1
go to red room go to green room,,1
go to red room go to green room,,1
go to red room go to green room,,1
go to red room go to green room,,1
move to the red room and then move to the green room,,1
go to the red room . go to the green room,,1
go from the purple room to the pink room and then to the green room,,1
