Commands,Hard Label,Soft Label
move into the red room and push the chair back into the purple room,1,1
go to the red room and push the chair in front of the blue room,1,1
go to red room get the chair go back to purple room,1,1
move to the red room retrieve the chair and push it back to the the blue room,1,1
move into the red room and then push the chair into the blue room,1,1
move into the red room get to the left of the chair and push the chair back up into the blue room,1,1
bring the chair in the red room back to the purple room,1,1
move to the red room push the chair to the blue room,1,1
go into the red room find the chair and bring it back into the purple room,1,1
go to red room push chair to blue room,1,1
go into the room and find the chair then push it back into blue room,1,1
go from the blue room to the red room then push the chair back into the blue room,1,1
move the chair in the red room to the blue room,1,1
move to the red room and push the chair back into the blue room,1,1
move to the red room bring chair to the blue room,1,1
go into the red room and push the chair back into the blue room,1,1
go to red room move red chair to blue room,1,1
move to the red room and push the chair into the blue room,1,1
move to the red room move the chair to the blue room,1,1
enter the red room and bring the chair back to the blue room,1,1
push the red chair back into the blue room,1,1
go to red room and move red chair to blue room,1,1
go to the red room get the chair then go to the blue room,1,1
move to the red room and push the chair into the blue room,1,1
go to the red room and push the chair back to the blue room,1,1
go to the red room go behind the chair then bring the chair to the blue room,1,1
go to the red room then push the chair into the blue room,1,1
move to the red room then move the chair to the blue room,1,1
go into the red room and push the chair into the purple room,1,1
move to the red room push the chair back to the blue room,1,1
go to the red room get the chair and bring it to the purple room,1,1
go to red room push chair to purple room,1,1
go to the red room move the red chair to the purple room,1,1
move to the red room and take the chair and go to violet room,1,1
go to the red room then get the chair then go back to the blue room,1,1
move to the red room and push the chair back into the blue room,1,1
move to the red room move to the chair move the chair into the blue room,1,1
push the chair from the red room into the blue room,1,1
move the chair from the red room into the blue room,1,1
move to the red room move behind the chair move the chair into the red room,1,1
go to the red room and push the red chair to the purple room,1,1
go to the red room grab the chair come back to the blue room,1,1
move to the red room and push the chair back into the blue room,1,1
move the chair from the red room to the blue room,1,1
move to the red room and push the chair into the blue room,1,1
go into the red room and push the chair into the blue room,1,1
go to the red room and push the chair back into the blue room,1,1
go to the red room find the chair and bring it back to the purple room,1,1
go to red room and push the chair over and push it into the purple room,1,1
move to the red room get the chair move to the blue room,1,1
go to the red room and move the chair to the blue room,1,1
go to the red room and bring the chair from there back to the purple room,1,1
go into the red room take the chair and carry it back to the blue room,1,1
move to the red room move the chair to the purple room,1,1
go into red room get chair go into blue room,1,1
go to the red room get the chair return to the blue room,1,1
go to the red room and take the chair to the blue room,1,1
go to the red room pick up the chair and go backto the blue room,1,1
move to the red room then push the chair to the blue room,1,1
go into the red room and bring the chair back to the purple room,1,1
go to the red room and get the chair and move it to the purple room,1,1
go to red room move chair to blue room,1,1
go to the red room and push the chair into the blue room,1,1
go the red room get dog and go back to blue room,1,1
move to the red room and push the chair to the blue room,1,1
move to the red room then move the chair to the blue room,1,1
go into the red room and move the chair to the blue room,1,1
go to the red room get the chair and then go back to the blue room,1,1
move to the red room push the chair into the blue room,1,1
go into the red room and move the chair into the blue room,1,1
go to the red room push the object to the blue room,1,1
move to the red room grab the chair then move to the blue room,1,1
go to the red room get the chair then go to the blue room,1,1
get the chair from the red room and return it to the blue room,1,1
go to the red room push the chair back up to the green room,1,1
go to the red room push the chair into the blue room,1,1
move down to the red room then move the chair up to the blue room,1,1
move to the red room move the chair to the blue room,1,1
go to the red room then push the chair into the blue room,1,1
go to the red room and get behind the chair and push it to the blue room,1,1
go to the chair in the red room and then push the chair into the blue room,1,1
go to the red room and push the chair into the blue room,1,1
go to red room bring chair back to blue room,1,1
go to red room get chair go to blue room,1,1
move to the red room and move the chair into the blue room,1,1
go to red room push chair into the blue room,1,1
go from the blue room to the red room then push the chair to the blue room,1,1
move to the red room and move the red chair to the blue room,1,1
go in the red room and bring the chair back to blue room,1,1
move to the red room push the chair into the blue room,1,1
go to the red room get the chair and take it to the blue room,1,1
go to red room go to chair move chair to blue room,1,1
move to the red room and push the object back into the blue room,1,1
move to the red room and pick up the chair then move the chair into the blue room,1,1
go to red room and bring chair back to blue room,1,1
go to red room go to far wall go to chair push chair to blue room,1,1
go to red room pick up the chair and come back,1,1
enter the red room go to the chair push the chair across the red room then push it into the blue room,1,1
move to the red room move to the red chair move the red chair to the blue room,1,1
