Commands,Hard Label,Soft Label
go to the red room move chair to the green room,1,1
push the object in the red room into the green room,1,1
go to the red room and push the chair into the green room,1,1
go to the red room and then go to the green room,1,1
go into the pink room retrieve the yellow object move it to the green room,1,1
push chair from red room to green room,1,1
push the object from the red room into the green room,1,1
go to the pink room push the yellow object into the green room,1,1
go to pink room and push yellow object into green room,1,1
go into the red room and push the object into the green room,1,1
move to pink room pick up yellow thing move to green room,1,1
go to the red room move the object into the green room,1,1
go from the blue room to the red room then push the yellow object into the green room,1,1
push the backpack in from the red room into the green room,1,1
push the object in the pink room into the green room,1,1
go to below yellow object then go to green door,1,1
go into the red room and move the object into the green room,1,1
go to the yellow object in the pink room and move it to the green room,1,1
go to red room push item to green room,1,1
go to the pink room go to the chair pick up the chair go to the green room,1,1
go to the red room and push the box into the green room,1,1
go to the red room and move the object to the green room,1,1
go to red room push yellow thing into green room,1,1
move to the red room then move the object into the green room,1,1
go to the red room move behind the yellow object then move to the green room,1,1
move to the red room move to the yellow item move the yellow item to the green room,1,1
go to the pink room go to the chair go to the blue room,1,1
leave the blue room and enter the red room and go behind the object and push it into the green room,1,1
enter the red room and then push the object into green room,1,1
go from the blue room to the red room then push the yellow object from the red room into the green room,1,1
go into the red room and push the chair into the green room,1,1
go to the red room push the object into the green room,1,1
go to the red room take the object and go into the green room,1,1
go to the orange room then push the chair from the orange room into the green room,1,1
go to the pink room room and push the object into the green room,1,1
go into the red room and push the chair into the green room,1,1
go to the red room move the yellow thing into the green room,1,1
move to the red room move the yellow item to the green room,1,1
go to pink room locate yellow object push to the green room,1,1
go to the pink room go the yellow chair push the yellow chair to the green room,1,1
go to the pink room and push the yellow object into the green room,1,1
move to the red room and push the chair into the green room,1,1
move to the red room move to the object in the red room move the object to the green room,1,1
go to the red room and push the chair into the green room,1,1
go to the red room take the yellow color object from there and go to green room with this object,1,1
go from blue room to the red room go under object and move it to the green room,1,1
move to pink room and get object and move to green room,1,1
leave the blue room and go into the red room then go to the object in the red room and move the object into the green room,1,1
go to red room move the item and go to green room,1,1
go to the red room and push the yellow thing into the green room,1,1
move to the red room then move with the object to the green room,1,1
go into the red room then push the chair into the green room,1,1
move to the red room and then push the object into the green room,1,1
goto red room push object to green room,1,1
go to red room push object to green room,1,1
go to red room get chair bring to green room,1,1
go to red room go to far wall go to chair push chair to green room,1,1
