Commands,Hard Label,Soft Label
move to the red room,1,1
move to the green room and now the red room,,1
move to the red room,1,1
go to the red room,1,1
move to the green room from the where you are,,
go to the red room,1,1
move from your room to the red room,1,1
go to the red room to the red chair,,
move to the red room,1,1
go in to the pink room,1,1
go to the pink room,1,1
go down three steps to move to other room,,
move into the red room and stay on the first square you end up on,1,1
go to pink room,1,1
go to the pink room,1,1
go to the red room,1,1
move to the green room,,
move to the red room,1,1
go to the pink room,1,1
go into the pink room,1,1
turn right move upward,,
go to the red room,1,1
down to pink room right to green door and then up,,
go to the red room,1,1
move to the pink room,1,1
move to the red room,1,1
go to the red room,1,1
go to the red room,1,1
move into the red room,1,1
go from the blue room into the red room,,1
go to the pink room,1,1
move into large room,,
move from the purple room to the pink room,,1
move to the pink room,1,1
move to the pink room,1,1
move to the orange room,,
go to the pink room,1,1
move to the red room,1,1
go into the red room,1,1
go to the red room,1,1
go to the pink room,1,1
go to the red room go to the red chair,,
move to the red room,1,1
go to pink room,1,1
move to the red room,1,1
go to the red room,1,1
move to the green room from the purple one,,
go to the red room,1,1
move to the red room,1,1
go to the red room,1,1
move into the red room,1,1
move to pink room,1,1
go to the pink room,1,1
move to the red room,1,1
move out of the green room,,
go to the red room,1,1
go in door ahead,,
move to the pink room,1,1
move to the pink room,1,1
go to the red room,1,1
move to red room,1,1
go to the red room,1,1
move to the red room,1,1
go to the red room,1,1
move to the orange room,,
go to the red room,1,1
move into pink room,1,1
go into the red room,1,1
move to the red room,1,1
go to the pink room,1,1
move to the pink room and stop after entering,1,1
move down the hall into the red room,,1
go to the red room,1,1
move to the red room,1,1
move to the red room,1,1
go to the red room,1,1
go to the pink room,1,1
move to the red room,1,1
go to the red room,1,1
go to the pink room,1,1
go to the pink room,1,1
move from violet room to red room,,1
go to red room,1,1
go to the red room,1,1
move to the red room,1,1
go to the pink room,1,1
please take the chair and go to green room,,
move to the red room,1,1
go into the red room,1,1
go to the red room,1,1
move into the red room,1,1
go to the red room,1,1
move to pink room,1,1
go to the pink room,1,1
come out,,
move out of the room straight ahead,,
go to the red room,1,1
go to the pink room,1,1
go into the red room,1,1
move to the green room,,
go to the red room,1,1
go to the red room,1,1
move to the pink room,1,1
move to the red room,1,1
enter the pink room,1,1
go to the pink room,1,1
take three steps to go to the red room,,
go to the red room,1,1
go to the pink room,1,1
go to pink room,1,1
go to the red room,1,1
move to the green room,,
go to the red room,1,1
go to the red room,1,1
move to the red room,1,1
go to the pink room,1,1
go to the red room,1,1
go to the pink room,1,1
go to the red room,1,1
i want you to go into the red room,1,1
move to the green room,,
go to the pink room,1,1
move to the red room,1,1
go to the red room,1,1
go to the pink room,1,1
move to red room,1,1
go to the red room,1,1
move to the green room,,
go to the red room,1,1
move to pink room,1,1
walk from the red room to the green room,,
move to the red room,1,1
move to the red room,1,1
move to the red room,1,1
go to the red room,1,1
go to red room,1,1
go to pink room,1,1
move to the red room,1,1
go to the pink room,1,1
go from the blue room to the red room,,1
move to the green room,,
move to the pink room,1,1
move to the red room,1,1
move to the red room,1,1
go into the red room,1,1
go to the red room,1,1
move to the red room,1,1
move from the blue room into the red room,,1
go to the red,1,1
move to the red room then the green room,,
move to red room,1,1
go to the red room,1,1
move to the red room,1,1
move to the red room,1,1
move to the red room,1,1
go into the red room,1,1
move to the red room,1,1
go to the red room,1,1
move to the red room,1,1
move to the red room,1,1
go to the red room,1,1
go to the red room,1,1
go to red room,1,1
move to the red room,1,1
go to red room,1,1
go to the red room,1,1
move to the red room,1,1
go to red room,1,1
go from the blue room into the red room,,1
go to the red room,1,1
move to the red room,1,1
leave the blue room and go to the pink room,,1
go from the blue room to the red room,,1
move into the red room,1,1
go to the red room,1,1
go to the pink room,1,1
move to the red room,1,1
go to the pink room,1,1
move to the red room,1,1
go from the blue room to the pink room,,1
go to the red room,1,1
go to red room,1,1
move to red room,1,1
go to red room,1,1
move to the red room,1,1
move to the red room,1,1
go to the red room,1,1
go to the red room,1,1
