Commands,Hard Label,Soft Label
go from the blue room to the red room then go from the red room to the green room,1,1
go from the blue room to the green room,1,1
go to red room and then green room,1,1
go into the red room and then go into the green room,1,1
go to the red room then go to the green room,1,1
go to the red room go to the green room,1,1
go to red room go to green room,1,1
move to the red room then go to the green room,1,1
enter the red room then enter the green room,1,1
move to the red room move to the green room,1,1
go to the red room and then go to the green room,1,1
first go to red room then go to green room,1,1
go from the blue room to the red room and then go from the red room to the green room,1,1
go into the red room and enter the green room,1,1
move to red room move to green room,1,1
go to the red room and then the green room,1,1
go to the red room and then go into the green room,1,1
move to the red room then move to the green room,1,1
go to the red room then the green room,1,1
go to the red room then the green room,1,1
go to the red room and then go to the green room,1,1
move to the red room and move into the green room,1,1
go into the red room then go into the green room,1,1
move to the red room move to the green room,1,1
go to the red room then to the green room,1,1
go to the red room and then to green room,1,1
robot c move to the red room and then move to the green room,1,1
move from blue room to red room then move to green room,1,1
move to red room then move to green room,1,1
move into the red room then move into the green room,1,1
go to the red room and then go to the green room,1,1
go to the red room go to the green room,1,1
go to the red room and then go to the blue room,1,1
move to the red room then move to the green room,1,1
go into the red room and then into the green room,1,1
move to the red room and then move to the green room,1,1
go to red room go to green room,1,1
go to red room go to green room,1,1
go to red room go to green room,1,1
go to red room go to green room,1,1
move to the red room and then move to the green room,1,1
go to the red room go to the green room,1,1
