Commands,Hard Label,Soft Label
move to yellow or red room them move to green room,1,1
The robot has to go through the red or yellow room to get to the green room.,1,1
Go through the yellow or red room and enter the green room,1,1
Go through the yellow or red room into the green room.,1,1
go thru the yellow or red box to get to the green box,1,1
Go through either the red or the yellow room to get to the green room,1,1
Get to the green room through red or yellow rooms only.,1,1
move the robot through the yellow or red small room and then to the large green room,1,1
Go through the yellow and red room to the green room,1,1
Enter the yellow or red room and proceed to the green room.,1,1
Move to the green room by going through the yellow or red room.,1,1
Move through the yellow or red room to the green room.,1,1
go through the yellow or red room to the green room,1,1
Go through the yellow or red room to reach the green room.,1,1
Only go through the red or yellow to get to the green.,1,1
Go through yellow or red square to get to green square,1,1
go through the yellow or red room to reach the green room,1,1
go through red or yellow to get to green,1,1
