Commands,Hard Label,Soft Label
Leave the pink room through the blue room.,,
Robot you should travel through the blue painted room,,
Go to the blue room. Keep going and stop when you reach the green room.,1,1
"Move from the pink box into the green box by way of the blue box, avoiding the yellow or red box.",,1
Go through the Blue area,,
Robot must always enter the blue square,,
"Go to Blue, then Green.",,
"Go from bottom to to via blue, avoid yellow and red.",,
blue,,
go to blue,,
go to the green room via the blue room.,1,1
Go through the blue room into the green room.,1,1
Go over towards the blue room and up through it to the green rectanglular room,1,1
Travel only to rooms that are blue or green,,
avoid yellow and red,,
Go through the blue to get to the green.,1,1
move the robot from the pink room to the blue room and then to the green room,,1
The blue room is correct.,,
Go through blue room to green room,1,1
Follow the path through the blue room to get to the green room.,1,1
When hitting the blue command robot goes the right way,,
Go through the room colored blue.,,
correct,,
Move from the pink room through the blue room to the green room.,,1
go past the small blue room,,
Go through the blue room to the green room.,1,1
Go to the blue square,,
Go through the blue box to the pink box.,,
Do not enter the red or yellow rooms.,,
Go through the blue room,,
Go through blue rooms to get to the green one.,1,1
Enter the blue room.,,
Take the blue room first which leads to the green room.,1,1
Only go to the green room by first entering the blue room.,1,1
Go through the blue room.,,
go to the green room through the blue one.,1,1
Go through the blue room to the green room.,1,1
Starting in the pink room travel through the blue room to the green room,,1
Go to the green area through blue area.,1,1
Follow the green arrow,,
Function: <go through the green colored line end with the same color>,,
robot not entered in to the yellow way,,
Proceed through the blue room.,,
Go through blue to get to green,1,1
"Move across the hall, if you see blue room go through it",,
Go through blue room to get to green room.,1,1
Go through blue to green room.,1,1
Please go to the green room through the blue room,1,1
Travel through the blue square room to the large green rectangular room.,1,1
Go through the blue room,,
Do not go into the yellow room.,,
Go through the blue room to get to the green room.,1,1
Travel through the blue room.,,
Move through a blue room and into the green room.,1,1
Go through blue to reach green,1,1
Go to the green room through blue.,1,1
Go to pink room,,
Move through the blue room into the green room.,1,1
"blue, green",,
go thru the green path,,
blue,,
Go into the green room through the blue room.,1,1
Go through the blue room to the green room.,1,1
Go through the blue room to get to the green room.,1,1
Go through the blue room,,
Starting in the pink room travel through the blue room to the green room.,,1
Go into the blue room and then the green room.,1,1
Please travel through the blue area.,,
Go from the pink room to the green room through the blue room.,,1
Go to green rectangle via blue square.,1,1
Go to the green room through the blue room,1,1
Proceed through a room if it is purple,,
Go through the blue room to the green room,1,1
go blue only,,
go through the blue room,,
